dispatch_date,order_id,customer_id,product_type,quantity,batch_ref,vehicle_number,driver_name,transporter,invoice_no,eway_bill_no,freight_inr,delivery_status,delivery_date,remarks
27-09-2021,D-1315,OEM-RENAULT,CV Joint,1556,BATCH-2022-0461,GJ01-4000,Suresh Patil,Mahindra Logistics,INV-329848,EWB630037148253,16507.31,Delivered,10/05/2022,Delayed – vehicle breakdown
2024-04-25,D-1766,OEM-MAHINDRA,Brake Pad Type B,1199,BATCH-2024-0264,GJ01-1900,Ganesh Waghmare,Gati Ltd,INV-445234,EWB541215075757,3012.97,,02/05/2024,POD pending
2021-01-15,D-3050,OEM-TVS,ABS Sensor Ring,1301,BATCH-2024-0381,MH14-8308,Suresh Patil,Self-transport,INV-619214,EWB713356979117,19805.31,Delayed,08-04-2022,Delayed – vehicle breakdown
2021-10-19,D-1596,OEM-BAJAJ,Brake Pad Type B,168,BATCH-2023-0139,MH14-8613,Pradeep Jadhav,Gati Ltd,INV-522385,,23351.14,Delivered,30-01-2022,Short delivery – balance next trip
16/05/2023,D-1645,OEM-HYUNDAI,Clutch Plate,351,BATCH-2021-0026,MH14-5755,Suresh Patil,Gati Ltd,,EWB503905026666,18778.0,,2021-09-11,POD pending
2023-06-27,D-1126,OEM-BAJAJ,Clutch Plate,1509,BATCH-2024-0356,MH12-7042,Pradeep Jadhav,BlueDart,INV-855301,EWB420606591925,20084.32,Delivered,09/12/2021,Customer requested reschedule
2021-01-08,D-3275,OEM-MAHINDRA,Clutch Plate,959,BATCH-2021-0314,MH14-4397,,Self-transport,INV-141800,EWB237683917879,10578.52,Returned,20-08-2022,Delayed – vehicle breakdown
2022-11-29,D-3400,OEM-TATA,Brake Pad Type B,1219,BATCH-2021-0327,MH10-6222,Suresh Patil,Mahindra Logistics,INV-774142,EWB571368721889,9847.47,,2024-05-10,On time
2024-07-10,D-2739,OEM-BAJAJ,Drum Brake Assy,1108,BATCH-2023-0409,MH10-5057,Nitin Sawant,VRL Logistics,INV-735410,EWB992355912120,6864.69,Partial,19/02/2022,Returned – wrong address
2022-02-02,D-2778,OEM-TVS,Brake Pad Type A,1550,BATCH-2023-0034,MH13-4539,Amit Singh,BlueDart,INV-425866,,8229.72,Delivered,11/13/2023,Delayed – vehicle breakdown
2021-07-28,D-2559,OEM-TVS,Wheel Hub Assy,75,BATCH-2024-0092,GJ01-2219,Nitin Sawant,VRL Logistics,INV-924748,EWB557516654085,7867.63,Delivered,07/25/2022,Delayed – vehicle breakdown
2024-12-31,D-1912,OEM-HYUNDAI,Brake Shoe,329,BATCH-2024-0358,MH04-3380,Amit Singh,VRL Logistics,INV-324497,EWB623524810818,3419.4,Delivered,23/08/2022,Customer not available
2024-06-14,D-1113,OEM-HYUNDAI,Clutch Plate,1414,BATCH-2021-0262,MH14-9270,Amit Singh,BlueDart,INV-370036,EWB909201717581,21861.35,,10/09/2024,On time
2022-12-30,D-3911,OEM-SUZUKI,Brake Pad Type B,1394,BATCH-2021-0108,KA01-9333,Satish Bhosale,Delhivery,INV-160068,EWB519562982981,19794.01,Delivered,,On time
